library,executionTime,memoryUsage,outputSize,compressionRatio,complexityScore,operationType,documentSize,iteration,timestamp,complexityRange,throughput,memoryKB,outputSizeKB
"schema-aggregated",3.508042000000046,0,11145,5.7134508320260835,13,"Change health check path,Toggle multi-AZ for RDS",195066,15,2025-06-28T19:19:32.591Z,"Low",285.06,0.00,10.88
"json-diff-kit",26.179957999999942,8451841,1640260,840.8743707258056,13,"Change health check path,Toggle multi-AZ for RDS",195066,15,2025-06-28T19:19:32.591Z,"Low",38.20,8253.75,1601.82
"schema-aggregated",4.090166999999951,0,26108,11.958538115893571,33,"Modify container image source,Change environment region,Change service ID,Change environment name,Add single environment variable,Change max instances,Toggle container insights,Add watch paths",218321,16,2025-06-28T19:19:32.591Z,"Low",244.49,0.00,25.50
"json-diff-kit",29.60170800000003,11453171,1834531,840.2906729082407,33,"Modify container image source,Change environment region,Change service ID,Change environment name,Add single environment variable,Change max instances,Toggle container insights,Add watch paths",218321,16,2025-06-28T19:19:32.591Z,"Low",33.78,11184.74,1791.53
"schema-aggregated",0.5612909999999829,0,6454,27.636706204770267,8,"Change target type",23353,17,2025-06-28T19:19:32.591Z,"Low",1781.61,0.00,6.30
"json-diff-kit",0.9289999999999736,0,196827,842.8338971438359,8,"Change target type",23353,17,2025-06-28T19:19:32.591Z,"Low",1076.43,0.00,192.21
"schema-aggregated",1.1034160000000384,0,8756,17.00062131096614,20,"Change PR source configuration,Change environment name,Toggle multi-AZ for RDS",51504,18,2025-06-28T19:19:32.591Z,"Low",906.28,0.00,8.55
"json-diff-kit",2.8129169999999704,0,430948,836.7272444858651,20,"Change PR source configuration,Change environment name,Toggle multi-AZ for RDS",51504,18,2025-06-28T19:19:32.591Z,"Low",355.50,0.00,420.85
"schema-aggregated",2.365542000000005,0,9077,6.926945413197598,6,"Change service name,Change storage size",131039,19,2025-06-28T19:19:32.591Z,"Low",422.74,0.00,8.86
"json-diff-kit",11.057332999999971,6806930,1100862,840.1025648852631,6,"Change service name,Change storage size",131039,19,2025-06-28T19:19:32.591Z,"Low",90.44,6647.39,1075.06
"schema-aggregated",0.9361249999999472,0,12686,29.4879245019874,31,"Toggle source trigger,Modify autoscaling thresholds,Add experimental features,Add health check grace period,Remove environment variable,Change version history count",43021,20,2025-06-28T19:19:32.591Z,"Low",1068.23,0.00,12.39
"json-diff-kit",1.9615830000000187,0,361658,840.654564050115,31,"Toggle source trigger,Modify autoscaling thresholds,Add experimental features,Add health check grace period,Remove environment variable,Change version history count",43021,20,2025-06-28T19:19:32.591Z,"Low",509.79,0.00,353.18
"schema-aggregated",2.9855830000000196,0,27632,16.784406149584825,29,"Change service memory,Toggle container insights,Add static site with SPA config,Change source branch,Add single environment variable,Change min instances,Toggle origin shield,Change environment region",164629,21,2025-06-28T19:19:32.591Z,"Low",334.94,0.00,26.98
"json-diff-kit",18.935707999999977,8692235,1494943,908.0678373798055,29,"Change service memory,Toggle container insights,Add static site with SPA config,Change source branch,Add single environment variable,Change min instances,Toggle origin shield,Change environment region",164629,21,2025-06-28T19:19:32.591Z,"Low",52.81,8488.51,1459.91
